                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0554,                 1.3666,                  1.228,                0.44089,                0.67572,                0.38211,                 0.2731,                  1.494,                 16.186,                 1.7551,             0.00047437,             0.00047437,             0.00047437
                      2,                 1.0246,                 0.9517,                 1.2041,                0.89443,                0.81555,                0.85455,                0.71459,                0.91646,                0.92358,                 1.1666,             0.00093187,             0.00093187,             0.00093187
                      3,                0.95415,                0.86298,                 1.1634,                0.95981,                 0.8087,                0.86745,                0.71179,                0.93467,                0.82536,                 1.1678,              0.0013705,              0.0013705,              0.0013705
                      4,                0.93167,                0.79435,                 1.1486,                0.88553,                 0.7651,                0.83688,                0.68984,                0.91247,                0.96926,                 1.1494,              0.0013441,              0.0013441,              0.0013441
                      5,                0.87806,                0.73076,                 1.1131,                0.92031,                0.85559,                0.90631,                0.77275,                0.75769,                0.68394,                 1.0773,              0.0013441,              0.0013441,              0.0013441
                      6,                0.83227,                0.68214,                 1.0903,                0.87969,                 0.8028,                0.85365,                0.73427,                0.75428,                 0.8957,                 1.0601,              0.0013158,              0.0013158,              0.0013158
                      7,                0.79027,                0.63529,                 1.0727,                0.92601,                0.84431,                0.89963,                0.77401,                0.74319,                0.96139,                 1.0647,              0.0012875,              0.0012875,              0.0012875
                      8,                0.77729,                0.60464,                 1.0609,                 0.9237,                0.87887,                0.93613,                0.81945,                 0.6483,                0.50109,                 0.9974,              0.0012592,              0.0012592,              0.0012592
                      9,                0.75254,                0.57988,                 1.0483,                 0.9371,                0.89879,                0.93495,                0.82015,                0.62631,                0.50464,                0.98434,              0.0012309,              0.0012309,              0.0012309
                     10,                0.74815,                0.58078,                 1.0455,                0.94971,                0.87214,                0.93685,                0.82719,                0.60224,                0.50619,                0.97786,              0.0012026,              0.0012026,              0.0012026
                     11,                0.71747,                0.53179,                 1.0224,                0.95468,                0.87636,                 0.9346,                0.82319,                0.64751,                0.47582,                 1.0004,              0.0011744,              0.0011744,              0.0011744
                     12,                0.71509,                0.54218,                  1.027,                0.94762,                 0.8615,                0.92304,                0.82116,                0.59091,                 0.4929,                0.97267,              0.0011461,              0.0011461,              0.0011461
                     13,                0.71381,                0.52859,                 1.0235,                0.94303,                0.87061,                0.92837,                 0.8249,                  0.612,                0.47651,                0.97015,              0.0011178,              0.0011178,              0.0011178
                     14,                0.68812,                0.51393,                 1.0112,                0.93827,                0.90041,                0.94196,                0.83314,                0.60948,                 0.4954,                0.97192,              0.0010895,              0.0010895,              0.0010895
                     15,                0.68309,                0.49227,                   1.01,                0.94581,                0.87473,                0.93303,                0.83497,                 0.5759,                0.48968,                0.96572,              0.0010612,              0.0010612,              0.0010612
                     16,                0.67638,                0.49816,                 1.0078,                0.92891,                0.90925,                0.94382,                 0.8396,                0.57866,                0.45491,                0.96567,              0.0010329,              0.0010329,              0.0010329
                     17,                0.65127,                0.46772,                0.99554,                0.95576,                0.86748,                0.93995,                0.83674,                0.58785,                0.46228,                  0.961,              0.0010046,              0.0010046,              0.0010046
                     18,                0.64473,                0.46858,                0.99131,                0.95024,                0.89432,                0.94718,                 0.8511,                0.54339,                0.44019,                0.94755,             0.00097629,             0.00097629,             0.00097629
                     19,                0.64705,                0.46153,                0.99064,                0.92019,                0.90863,                0.94289,                0.85218,                 0.5299,                0.43101,                0.94766,               0.000948,               0.000948,               0.000948
                     20,                0.63595,                0.45308,                0.99001,                 0.9335,                0.91459,                0.95589,                0.85587,                0.52744,                0.40682,                0.93355,              0.0009197,              0.0009197,              0.0009197
                     21,                0.63281,                0.45422,                0.98509,                0.92868,                0.90208,                0.94831,                 0.8564,                0.52818,                0.40702,                0.92914,             0.00089141,             0.00089141,             0.00089141
                     22,                0.62428,                0.43877,                0.98164,                0.93087,                0.91602,                0.95785,                0.85407,                0.54616,                0.39373,                0.93845,             0.00086312,             0.00086312,             0.00086312
                     23,                0.61273,                0.43614,                 0.9727,                0.94981,                0.89915,                0.95804,                0.86335,                0.51825,                0.38857,                0.94088,             0.00083482,             0.00083482,             0.00083482
                     24,                0.60754,                0.42292,                0.97254,                0.94867,                0.91043,                0.95973,                0.85432,                0.54147,                0.39627,                0.94759,             0.00080653,             0.00080653,             0.00080653
                     25,                0.61111,                0.42474,                0.97057,                 0.9505,                0.91126,                0.95458,                0.86507,                0.51221,                 0.3772,                0.92625,             0.00077823,             0.00077823,             0.00077823
                     26,                0.60426,                0.42571,                0.96793,                0.91399,                0.91664,                 0.9522,                0.85774,                0.50906,                0.39918,                0.91727,             0.00074994,             0.00074994,             0.00074994
                     27,                0.58655,                0.40162,                0.95802,                0.94052,                0.91599,                0.95882,                0.86879,                0.50519,                0.35892,                0.93387,             0.00072164,             0.00072164,             0.00072164
                     28,                0.58466,                0.40103,                0.96252,                0.93394,                0.90771,                0.95215,                0.86104,                0.54693,                0.40229,                0.94914,             0.00069335,             0.00069335,             0.00069335
                     29,                0.57753,                0.39576,                0.95373,                0.95522,                0.90347,                0.95521,                0.86572,                0.53143,                0.38473,                0.95962,             0.00066506,             0.00066506,             0.00066506
                     30,                0.57153,                 0.3865,                0.95696,                0.95175,                0.89735,                0.95337,                0.86481,                0.51336,                0.37597,                0.93508,             0.00063676,             0.00063676,             0.00063676
                     31,                 0.5691,                0.37965,                0.94849,                0.95618,                 0.9175,                0.95913,                0.86782,                0.50706,                0.36522,                 0.9387,             0.00060847,             0.00060847,             0.00060847
                     32,                0.56172,                0.38326,                0.94828,                0.93718,                0.90608,                0.96579,                0.87792,                0.50993,                0.36711,                0.93552,             0.00058017,             0.00058017,             0.00058017
                     33,                0.55046,                0.37051,                0.93857,                 0.9451,                0.90703,                0.95467,                0.86409,                0.50881,                0.39083,                0.93421,             0.00055188,             0.00055188,             0.00055188
                     34,                0.54451,                0.36639,                0.93911,                 0.9538,                0.91732,                0.96516,                0.87528,                 0.5035,                0.35288,                0.93944,             0.00052359,             0.00052359,             0.00052359
                     35,                 0.5455,                0.35515,                0.93762,                0.95928,                0.90983,                0.96211,                 0.8744,                 0.4981,                0.34392,                0.93886,             0.00049529,             0.00049529,             0.00049529
                     36,                0.53438,                0.35496,                0.93763,                0.94129,                0.91456,                0.95714,                0.87353,                0.47221,                0.35574,                0.92099,               0.000467,               0.000467,               0.000467
                     37,                 0.5272,                0.34715,                0.93388,                0.92657,                0.92365,                0.96223,                0.87317,                0.50771,                0.35521,                0.93725,              0.0004387,              0.0004387,              0.0004387
                     38,                0.52739,                 0.3446,                0.93072,                0.94149,                0.88539,                0.95813,                0.87076,                0.49579,                0.35148,                0.93848,             0.00041041,             0.00041041,             0.00041041
                     39,                0.51828,                0.33619,                0.92645,                0.94638,                0.91981,                 0.9627,                0.87796,                0.48672,                0.33688,                0.92766,             0.00038211,             0.00038211,             0.00038211
                     40,                0.51095,                0.33379,                0.92827,                0.93577,                 0.9207,                0.96145,                0.87556,                0.51088,                 0.3517,                 0.9381,             0.00035382,             0.00035382,             0.00035382
                     41,                0.49405,                0.31123,                0.91929,                0.96174,                0.90591,                0.95951,                0.88643,                0.45651,                 0.3645,                0.90164,             0.00032553,             0.00032553,             0.00032553
                     42,                0.49429,                0.31096,                0.91367,                0.96915,                0.89937,                0.96288,                0.87867,                0.49323,                0.34598,                0.93119,             0.00029723,             0.00029723,             0.00029723
                     43,                0.47911,                0.29632,                0.91065,                0.93246,                0.92374,                0.96148,                 0.8781,                0.50023,                0.35867,                0.92683,             0.00026894,             0.00026894,             0.00026894
                     44,                0.47208,                0.28574,                0.90415,                0.95112,                0.92149,                0.96461,                0.88317,                0.49927,                0.33358,                0.93507,             0.00024064,             0.00024064,             0.00024064
                     45,                0.46566,                0.27696,                0.90001,                0.93252,                0.93225,                0.96268,                0.87948,                0.48826,                0.33888,                0.93165,             0.00021235,             0.00021235,             0.00021235
                     46,                0.45703,                0.27099,                0.89723,                0.95803,                0.91295,                0.96657,                0.88361,                0.47859,                0.34823,                0.92454,             0.00018406,             0.00018406,             0.00018406
                     47,                0.44284,                0.25772,                 0.8897,                0.95758,                0.90929,                0.96505,                0.88664,                0.47595,                0.33121,                0.93373,             0.00015576,             0.00015576,             0.00015576
                     48,                0.43387,                 0.2565,                 0.8828,                 0.9551,                0.92541,                0.96011,                0.88297,                0.47088,                0.30995,                0.93245,             0.00012747,             0.00012747,             0.00012747
                     49,                0.43055,                0.25115,                0.88482,                0.93868,                0.93246,                 0.9615,                0.88667,                0.47045,                0.30436,                0.92544,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.42226,                0.24521,                0.87929,                0.94485,                 0.9288,                0.96216,                0.88574,                0.46941,                0.31909,                 0.9264,             7.0878e-05,             7.0878e-05,             7.0878e-05
